企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡荡口秦淮古玩艺术投资管理有限公司,江苏,无锡市,913202050566735701,丁寅,有限责任公司（法人独资）,2012-11-13,100万人民币元,无锡市锡山区鹅湖镇荡口古镇仓河北街须家里1、2、3、5、6、7、8、9、10、15号,578792370@qq.com,"利用自有资产对古玩艺术品进行投资及管理;工艺美术品的销售;房地产策划;企业形象策划;房地产经纪(不含价格评估);古镇旅游开发咨询;投资咨询(不含证券和期货);企业管理咨询服务;商务咨询;会务服务;装饰工程施工(不含资质);预包装食品零售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13951698570,025-85982696；0510-85997785；
无锡市中山置业顾问有限公司,江苏,无锡市,,王云燕,有限责任公司,2005-01-20,30万人民币元,无锡市中山路278号1202室,,"房地产营销策划、房地产信息咨询、房地产经纪、经济信息咨询的服务;装饰装潢服务;企业形象策划与推广。(涉及专项审批的,须经批准后方可经营)",,,
无锡市双亿置业投资开发有限公司君凯凯莱大饭店,江苏,无锡市,913202115678023111,孟韶华,有限责任公司分公司,2011-01-12,,无锡市高浪西路202号,535317663@qq.com,"中餐、西餐、自助餐(含凉菜、生食海产品,不含裱花蛋糕);本经营场所内零售卷烟(含雪茄烟);家庭用品的销售;预包装食品零售;美容服务;住宿服务;足浴服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85622999,
太平洋置业(无锡)有限公司,,,,,,,,,,,,,
无锡盈华置业有限公司亿锋酒店分公司,江苏,无锡市,91320205MA1WCDMH8G,唐丽,有限责任公司分公司,2018-04-12,,无锡市锡山区安镇街道丹山路78号锡东创融大厦A座1101,,"酒店管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
江苏长江置业发展有限公司,江苏,无锡市,91320205667615396N,钱静江,有限责任公司,2007-09-27,5000万人民币元,无锡市锡山区安镇镇查桥,2309006727@qq.com,"房地产开发、销售及租赁;房地产经纪服务;物业管理服务;停车场管理服务;商务信息咨询服务(不含投资咨询)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88715688,
无锡新发鸿景置业有限公司,江苏,无锡市,91320213598611462K,邹留红,有限责任公司（法人独资）,2012-06-27,800万人民币元,无锡新吴区旺庄路138-5号315室,445075127@qq.com,"房地产开发经营(凭有效资质证书经营);建筑工程施工、工程承包(凭有效资质证书经营);项目投资;企业管理服务;停车场经营;自有房屋出租。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85217902,0510-85219957；
无锡置茂商业运营管理有限公司,江苏,无锡市,,朱蔚伟,有限责任公司,2014-11-19,1000万人民币元,无锡市青祁路86号194室,,"企业管理;房地产信息咨询;物业管理;房屋租赁服务;利用自有资金对外投资;投资咨询(不含期货、证券类);贸易咨询服务;家政服务;清洁服务;人力搬运服务;室内环境治理;绿化养护服务;装饰装潢服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85819191,
源江置业江苏有限公司,江苏,无锡市,91320211MA1W78H30D,高庆东,有限责任公司,2018-03-15,5000万人民币元,无锡市滨湖区建筑西路777号A10幢11楼1106室,,"房地产开发、经营;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡润泽置业集团有限公司新区分公司,江苏,无锡市,,钱进,有限责任公司分公司,2013-01-25,,无锡市新区长江路12号,,"许可经营项目:无 一般经营项目:水暖安装。(上述经营范围涉及行政许可的,经许可后方可经营;涉及专项审批的,经批准后方可经营)*",,,
江阴宏扬置业有限公司,江苏,无锡市,91320281MA1NGBLE5H,吴军,有限责任公司（法人独资）,2017-03-02,5000万人民币元,江阴市凤凰路30号1703室,qianhuanhuan@zldcgroup.com,"房地产开发经营;室内外装饰装潢;企业管理(不含投资与资产管理)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15150259715,
江苏中佰置业有限公司,江苏,无锡市,91320213076384530T,潘建伟,有限责任公司,2013-09-03,10100万人民币元,无锡市新区龙山路4号(旺庄科技创业中心)B幢213,,"房地产开发、经营(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85225718,
江苏贝勒置业有限公司,江苏,无锡市,91320211MA1RABPD38,郭秋风,有限责任公司,2017-10-13,15000万人民币元,无锡市滨湖区马山梅梁路26-1,,"房地产开发经营;酒店管理;会议及展览服务;文化艺术交流活动策划;设计、制作、代理、发布国内广告业务;企业形象策划、企业管理咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
江苏首创置业有限公司,江苏,无锡市,91320200785570184N,张海滨,有限责任公司(中外合作),2006-03-30,1250万美元,无锡市锡山区东亭镇迎宾北路,mail@bjcapitalland.com.cn,"房地产开发;销售、租赁自建房产并提供相关房屋和设施管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.shouchuangjunfu.com,0510-88218522,0510-88218523；
无锡俊置豪物业管理有限公司,江苏,无锡市,,王红宁,有限责任公司,2014-06-03,100万人民币元,无锡市南长区沁园新村171号136室,,"物业管理(凭有效资质证书经营);清洁服务;绿化服务;为餐饮企业提供管理服务;装饰装潢服务;会议及展览服务;文具用品、工艺品、厨房、卫生间用具、五金交电、电线电缆的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15961897251,
徐州宇宏置业有限公司,江苏,徐州市,91320381060176913P,蔡跃进,有限责任公司(自然人独资),2013-01-04,5000万人民币元,新沂市无锡-新沂工业园黄山路8号,,"房地产开发、销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0516-68805696,
无锡市住房置业担保有限公司江阴分公司,江苏,无锡市,91320281749409107T,王孟宁,有限责任公司分公司,2003-04-17,,江阴市天鹤路269号601室,772035318@qq.com,"经总公司授权从事住房置业担保、房地产中介、房屋收购、销售;政策咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-86260051,0510-86260061；
无锡亿百置业有限公司百货分公司,江苏,无锡市,91320200323679636H,卢小娟,有限责任公司分公司,2015-01-05,,无锡市中山路618号,panting@maoye.cn,"百货的零售;建材、通用机械及配件、电气机械及器材、针纺织品及原料(不含棉花、蚕茧)、服装、鞋帽、钟表、眼镜、照相器材、体育用品、文具用品、化妆品、卫生用品、家用电器、首饰、工艺品、五金、玩具的销售;会议及展览服务;贸易咨询服务;停车场管理服务;自有房屋的租赁。(依法须经批准的项目,经相关部门批准后方可开展...",,0510-85762412,0510-86763666；
江苏奥凯置业有限公司,江苏,无锡市,91320206566869311L,魏祖君,有限责任公司,2010-12-21,5180万人民币元,无锡市惠山区中惠大道1777号奥凯商业广场1-4008号(城铁惠山站区),jiangsuaokai@163.com,"房地产开发、经营及管理;自有物业出租与管理;房地产信息咨询;物业管理;酒店经营管理;餐饮服务;住宿服务;会议服务;展览展示服务;商务咨询(不含投资咨询);...卷烟、雪茄烟、日用百货、服装及饰品、皮件及皮具、箱包、文具、电子数码产品、眼镜、手表的零售;美容美发、健身房、浴室、游泳池的服务;...(依法须经批准的项目,经相关部门...",http://www.jsaokai.com,0510-83880358,
江苏中广置业有限公司无锡分公司,江苏,无锡市,,王立杰,有限责任公司分公司,2009-05-08,,无锡市建筑路1173号,,许可经营项目:无 一般经营项目:房地产经纪服务;房地产信息服务。,http://www.zghouse.com,,
江苏中产投置业有限公司,江苏,无锡市,91320206323834640Q,韦应虎,有限责任公司,2014-12-10,5000万人民币元,无锡市惠山区玉祁街道湖畔花城145-303,627374122@qq.com,"房地产开发经营,社会经济咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18638166355,18019200369；
寰宇置业有限责任公司,江苏,无锡市,91320214570322941T,李屾,有限责任公司,2011-03-03,16600万人民币元,无锡市新区江溪街道坊前路19号,13771556789@163.com,"房地产开发与经营;利用自有资产对外投资;物业管理;企业管理;房地产营销策划;房地产经纪。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771556789,0510-85229999；
无锡鑫畅置业有限公司柏雅居酒店公寓分公司,江苏,无锡市,913202143239380520,贺方建,有限责任公司分公司,2014-11-10,,无锡新区长江路11,fin.wxtouwaen@belgravia.com.cn,"小型餐馆(不含凉菜;不含裱花蛋糕;不含生食海产品);住宿服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82331000,0510-82331388；
江苏钻石置业有限公司,江苏,无锡市,91320211MA1P6CPU1K,何俊,有限责任公司,2017-06-12,10000万人民币元,无锡市滨湖区太湖国际社区二街区79号,,房地产开发、经营;房地产经纪服务;房屋租赁;商务咨询服务(不含投资咨询);会议及展览服务;贸易咨询服务;物业管理;企业管理咨询服务;企业上市重组服务;企业营销策划;...珠宝首饰、纺织、服装及家庭用品、包装材料、五金产品、通讯设备(不含卫星广播电视地面接收设施及发射装置)、工艺品、文具用品、体育用品(不含射击、射箭类)、...,,18262247722,
无锡利华置业有限公司上海分公司,上海,,91310104MA1FRB7JX0,华宝军,有限责任公司分公司（自然人投资或控股）,2017-12-06,,上海市徐汇区柳州路399号(甲)509A室,,"房地产开发、经营,建材(不含油漆、涂料)、金属材料、商品混凝土的销售。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",,,
无锡红豆置业有限公司镇江分公司,江苏,镇江市,91321100741331472R,戴敏君,有限责任公司分公司,2002-08-30,,镇江市东吴路288号88幢,407517357@qq.com,"房地产开发、销售;装饰装潢服务(不含资质),自有房屋的租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0511-88855733,
连云港天昂置业有限公司无锡分公司,江苏,无锡市,91320213MA1WK0LT8Y,李洪苓,有限责任公司分公司,2018-05-18,,无锡市梁溪区运河东路555-1505,,"建筑安装工程、装饰装潢工程、土石方工程、园林绿化工程施工;建材销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
徐州鑫铭置业有限公司,江苏,徐州市,913203813545387722,郑红玉,有限责任公司(自然人独资),2015-08-24,16800万人民币元,新沂市无锡-新沂工业园黄山路8号,,"房地产开发、销售;房地产信息咨询;工程信息咨询;房屋建筑工程、道路工程、管道工程、装饰装璜工程、市政工程、绿化工程施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15825719984,
无锡香山置业发展有限公司酒店分公司,江苏,无锡市,913202130518836591,季刚,台、港、澳投资公司分公司,2012-07-27,,无锡市新区高浪东路19-A,dtwx.fin@hilton.com,"中西餐制售(含凉菜、含裱花蛋糕、含生食海产品)、住宿、游泳场(馆)服务。酒店管理;洗衣服务;花卉出租;健身、棋牌、桌球;服装加工;会议服务;食品销售;酒吧服务;服装、工艺品、珠宝首饰的零售;日用品销售;美容美发美体服务;票务服务;网球;停车场服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.hilton.com,0510-81818888,0510-81121201；0510-81121581；
无锡新力置地物业服务有限公司,江苏,无锡市,91320211551241206T,潘虹,有限责任公司（法人独资）,2010-03-11,300万人民币元,无锡市滨湖区胡埭镇富安花园A区51号,,"物业管理;房地产中介服务;清洁服务;绿化养护服务;游泳室内场所服务;室外游泳场服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85864778,13906182768；0510-86864778；
新沂星友置业有限公司,江苏,徐州市,91320381074687802L,李明好,有限责任公司,2013-07-29,5000万人民币元,新沂市无锡-新沂工业园黄山路8号,410047219@qq.com,"房地产开发、销售:物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0516-88870083,0516-80348888；0516-80340000；
江苏和洋置业有限公司,江苏,无锡市,91320200MA1P71GR5G,郭秋风,有限责任公司(外国法人独资),2017-06-14,2000万美元,无锡市滨湖区马山梅梁路26-1,,"房地产的开发(不含别墅);酒店管理;美容、美发服务;养生会馆的管理、技术咨询、技术服务;市场营销策划;企业形象策划;企业管理咨询服务;会议服务;文化艺术交流活动策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
新成诚置业江苏有限公司,江苏,宿迁市,91321322064580702M,黄央仙,有限责任公司,2013-04-02,6800万人民币元,沭阳县沭城无锡中路北侧(城内大街原二招院内),270955193@qq.com,"房地产开发、经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0527-3543606,13812316368；0527-89992211；0527-83993655；
江苏融御置业发展有限公司,江苏,无锡市,91320211MA1MQ7675W,王龙,有限责任公司,2016-07-20,10000万人民币元,无锡市滨湖区梁清路555号,,"房地产开发经营;工程项目管理服务;绿化景观工程的设计、施工;房屋租赁;企业营销策划;工艺品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82814688,0510-82814788；
无锡易房置业顾问有限公司惠龙分公司,江苏,无锡市,91320213MA1QFH035X,王云燕,有限责任公司分公司,2017-09-06,,无锡市惠华新村153-103,,"房产经纪服务;家务服务;物业管理;展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡禅悦居置业顾问有限公司天一分公司,江苏,无锡市,91320206MA1MW7PX1F,李营,有限责任公司分公司,2016-09-30,,无锡市惠山区天一新街沁春园9-11号,378432869@qq.com,"房地产经纪;房地产营销策划;房屋租赁;物业管理服务;房地产咨询服务;装饰装潢服务(不含资质)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13656190726,
无锡易房置业顾问有限公司五星家园分公司,江苏,无锡市,91320213MA1NENK49E,王云燕,有限责任公司分公司,2017-02-22,,无锡市五星家园122-1,,"房产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,
江苏中广置业有限公司无锡瑜憬湾分公司,江苏,无锡市,,卞如庆,有限责任公司分公司,2009-05-18,,无锡市隐秀路1063号,,"许可经营项目:无 一般经营项目:房地产经纪服务、房地产信息咨询服务。(上述经营范围涉及专项审批的,经批准后方可经营)*",,,
无锡市联众置业咨询有限公司柏庄分公司,江苏,无锡市,91320205MA1NND5372,成飞,有限责任公司分公司,2017-03-29,,无锡市锡山区东亭街道柏木南苑26-9,,"房地产中介服务;市场调查;企业营销策划;公共关系服务;利用自有资金对外投资(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡锐置车业有限公司,江苏,无锡市,91320205MA1TDQ0H65,陈俞云,有限责任公司,2017-12-05,500万人民币元,无锡市锡山区羊尖镇羊高路102号,499351361@qq.com,"助动自行车、非公路休闲车、自行车及其配件的制造、加工、销售;五金交电、橡胶制品、通用机械设备及配件、仪器仪表、机电设备、蓄电池及配件的销售;从事新能源科技、交通设施科技领域内的技术开发、技术咨询、技术转让、技术服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13002102091,
江苏中堂置业有限公司无锡新区分公司,江苏,无锡市,,陈光华,有限责任公司分公司,2010-01-27,,无锡新区长江北路15-27,,"许可经营项目:无 一般经营项目:为总公司联系业务。(上述经营范围中涉及行政许可的,经许可后方可经营;涉及专项审批的,经批准后方可经营)*",,,
无锡易房置业顾问有限公司沁春园分公司,江苏,无锡市,91320206MA1R8AY78B,王云燕,有限责任公司分公司,2017-09-27,,无锡市惠山区堰桥街道沁春园店面房08,,"房产经纪服务;家务服务;物业管理;展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡易房置业顾问有限公司刘潭分公司,江苏,无锡市,91320213MA1NTYRC0K,王云燕,有限责任公司分公司,2017-04-21,,无锡市刘潭黄母桥8-2,,"房产经纪服务;家务服务;物业管理(凭有效资质证书经营);展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
江苏城联置业发展有限公司,江苏,无锡市,91320211MA1P5JWE9Y,赵亚奇,有限责任公司,2017-06-08,10000万人民币元,无锡市滨湖区梁溪路6号-2,,房地产开发、销售;绿化工程、市政工程、水电安装工程、土石方工程、装饰装潢工程、幕墙工程的设计、施工及养护;工程造价咨询服务;物业管理服务;旅游项目开发;组织文化艺术交流活动;策划创意服务;卡拉OK服务;节能环保技术的研发、技术咨询;环保设备的研发、销售;利用自有资金对外投资;五金产品、家用电器、家庭用品、建筑...,,,
无锡易房置业顾问有限公司学前街分公司,江苏,无锡市,91320202MA1MJCG23Y,王云燕,有限责任公司分公司,2016-04-21,,无锡市学前街90-9,2431779906@qq.com,"房产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；
无锡易房置业顾问有限公司溪南分公司,江苏,无锡市,91320211MA1T64551L,王云燕,有限责任公司分公司,2017-10-25,,无锡市滨湖区溪南新村97-101,,"经济贸易咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)(经营期限至2019年10月24日)",,0510-82750793,
无锡易房置业顾问有限公司永乐路分公司,江苏,无锡市,91320213MA1URYY37H,王云燕,有限责任公司分公司,2017-12-25,,无锡市梁溪区家乐苑3号,,"房产经纪服务;家务服务;展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡易房置业顾问有限公司紫金分公司,江苏,无锡市,91320213MA1URT6B0Y,朱清华,有限责任公司分公司,2010-12-31,,无锡市人民东路390号,2431779906@qq.com,"房地产经纪服务;经济贸易咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；0510-82321389；0510-82405175；0510-82407139；0510-88703023；0510-82731676；
无锡易房置业顾问有限公司蔚蓝观邸分公司,江苏,无锡市,91320213MA1NBUAD1Q,王云燕,有限责任公司分公司,2017-01-22,,无锡市梁溪区蔚蓝路40,,"房产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
江苏中广置业有限公司无锡月秀分公司,江苏,无锡市,,陈朱银,有限责任公司分公司,2012-04-11,,无锡市建筑路316号,,许可经营项目:无 一般经营项目:房地产经纪服务;房地产信息服务。上述经营范围中涉及专项审批的待批准后方可经营*,,,
中资国本置业江苏有限公司,江苏,无锡市,91320206MA1P0FA148,纪昌坦,有限责任公司（法人独资）,2017-05-15,10000万人民币元,无锡市惠山区锦绣商业广场6-306,,"房地产开发及销售;房屋出租;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外),国内贸易(不含国家限制及禁止类项目);物业管理;房屋工程设计、城市规划设计;代理记账、企业管理咨询、经济信息咨询(不含投资咨询)、计算机信息技术服务与技术咨询、计算机系统集成、网络设备安装与维护。...",,,
江苏通信置业管理有限公司无锡分公司,江苏,无锡市,9132021155804626XJ,袁泉,有限责任公司分公司,2010-06-30,,无锡市环湖路788号,18951718215@189.cn,"为总公司联系业务;百货、电子产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,025-83343828,0510-83343828；
江苏双达置业投资有限公司,江苏,无锡市,,诸生明,有限责任公司,2010-01-13,8000万人民币元,无锡市太湖西大道2168号西22楼,,许可经营项目:无 一般经营项目:对房地产项目的投资;建筑材料、五金交电、金属材料的销售;房地产中介服务。上述经营范围中涉及专项审批的待批准后方可经营。,,,
无锡易房置业顾问有限公司阳光分公司,江苏,无锡市,91320213MA1UQKJ389,王云燕,有限责任公司分公司,2010-11-02,,无锡市红星路236号,2431779906@qq.com,"房产经纪服务、经济贸易咨询服务、家务服务;展览展示服务、企业形象策划、礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；0510-85739582；0510-85740763；0510-85731921；0510-82731676；
江苏途家置业顾问有限公司无锡分公司,江苏,无锡市,91320203058637610X,张义兵,有限责任公司分公司,2012-12-03,,无锡市南长区五爱人家2号407室,benlinz@sweetome.com,"房地产经纪;房地产咨询;物业管理服务(凭有效资质证书经营);酒店管理;软件技术开发、咨询、服务;会议服务;经济贸易咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.tujia.com,17768303300,18252805123；13809022788；0510-81081118；
无锡嘉之业置地有限公司,江苏,无锡市,91320206MA1WCFT176,王彩,有限责任公司（法人独资）,2018-04-12,500万人民币元,无锡市惠山区金惠路103-12,,"房地产开发经营,房屋中介服务,自有房屋租赁,物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡红豆置业有限公司镇江江南府邸分公司,江苏,镇江市,913211007448292179,戴敏君,有限责任公司分公司,2002-12-02,,镇江市中山北路6号,407517357@qq.com,"房地产开发、销售;装饰装潢服务;自有房屋的租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0511-88855733,
沭阳天成置业有限责任公司,江苏,宿迁市,9132132266270578XL,赖友夫,有限责任公司,2007-05-30,6128万人民币元,沭阳县沭城无锡路(原二招),270955193@qq.com,"房地产开发、经营。自有房屋租赁;房屋中介;物业管理。(以上范围涉及国家专项许可的,凭有效资质证书经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0527-3543606,13812316368；0527-89992211；0527-83990655；
无锡易房置业顾问有限公司清扬路分公司,江苏,无锡市,91320213MA1NUJTY8M,王云燕,有限责任公司分公司,2017-04-25,,无锡市清扬路80-11,,"房产经纪服务;家务服务;物业管理(凭有效资质证书经营);展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡易房置业顾问有限公司桑达园分公司,江苏,无锡市,91320205MA1URRQ37Q,王云燕,有限责任公司分公司,2012-08-17,,无锡市锡山区东亭桑达园小区109号102,2431779906@qq.com,"房产经纪服务、经济贸易咨询服务、家务服务;物业管理;展览展示服务、企业形象策划、礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；0510-81011095；0510-82731676；
无锡广电置业有限公司酒店分公司,江苏,无锡市,91320205MA1N47TU0M,徐虎,有限责任公司分公司,2016-12-19,,无锡市锡山区东亭街道东亭中路69号,,住宿;游泳服务;健身服务;美容美发服务;保健按摩服务(不含医疗性质);会务服务;洗衣服务;票务服务(不含铁路客票);棋牌服务;停车场管理服务;热食类食品制售;...自制饮品制售(不含使用压力容器制作饮品、不含自酿白酒);预包装食品(含冷藏冷冻食品)、散装食品(含冷藏冷冻食品)的销售;卷烟、雪茄烟、针纺织品、鞋帽、化妆品、卫生...,,,
无锡市粮油交易市场有限公司,江苏,无锡市,91320205782066644B,罗于祥,有限责任公司,2005-12-06,200万人民币元,无锡市锡山区东北塘锡通村(无锡高达置业发展有限公司内),LYX@wxms.org,"市场经营场地及设施租赁、市场管理服务;会议会展服务,搬运装卸服务;农副产品的收购;预包装食品(含冷藏冷冻食品)销售;散装食品(含冷藏冷冻食品)销售;生鲜食用农产品、饲料的销售;冷库租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83100000,
新沂市新港置业有限公司,江苏,徐州市,,黄克强,有限责任公司（法人独资）,2011-03-31,5000万人民币元,新沂市无锡-新沂工业园珠江路南首江苏锡沂水务有限公司院内,1325838611@qq.com,"房地产开发、销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13914857215,0516-81600705；
江苏合和百富置业有限公司,江苏,徐州市,91320381050260273K,刘伟,有限责任公司（法人独资）,2012-07-24,5000万人民币元,新沂市无锡-新沂工业园黄山路8号,249203789@qq.com,"房地产开发、销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0516-69902004,
无锡易房置业顾问有限公司梨花家园分公司,江苏,无锡市,91320213MA1R8N6Y6F,王云燕,有限责任公司分公司,2017-09-28,,无锡市梁溪区梨花家园50-27、28,,"房产经纪服务;家务服务;展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡易房置业顾问有限公司隆泉园分公司,江苏,无锡市,91320206MA1UTKRX0E,王云燕,有限责任公司分公司,2014-09-09,,无锡市惠山区盛岸西路374号,2431779906@qq.com,"房产经纪服务、经济贸易咨询服务、家务服务;物业管理(凭有效资质证书经营);展览展示服务、企业形象策划、礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；0510-83223151；
无锡易房置业顾问有限公司广勤路分公司,江苏,无锡市,91320213MA1RAEDM9W,王云燕,有限责任公司分公司,2017-10-16,,无锡市梁溪区广勤路409,,"房产经纪服务;家务服务;展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡易房置业顾问有限公司城中分公司,江苏,无锡市,91320213MA1UWCR13U,王云燕,有限责任公司分公司,2012-01-10,,无锡市石皮路7号2层,2431779906@qq.com,"房产经纪服务;经济贸易咨询服务;家务服务;展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；0510-82731676；
江苏中广置业有限公司无锡万达广场分公司,江苏,无锡市,,陈朱银,有限责任公司分公司,2011-06-30,,无锡市梁清路272号(滨湖区万达广场D区),,许可经营项目:无 一般经营项目:房地产经纪服务、房地产信息服务。上述经营范围中涉及专项审批的待批准后方可经营*,,,
无锡市紫光置业发展有限公司宜兴分公司,江苏,无锡市,913202820551547878,蒋致明,有限责任公司分公司,2012-09-26,,宜兴市丁蜀镇川埠经济开发区通蜀路中段,suyangjianshe@163.com,"受母公司委托从事房地产开发经营;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88275999,
无锡易房置业顾问有限公司民丰分公司,江苏,无锡市,91320213MA1UR4BL68,王云燕,有限责任公司分公司,2014-02-28,,无锡市民丰路112号,2431779906@qq.com,"房产经纪服务、经济贸易咨询服务、家务服务、物业管理(凭有效资质证书经营);展览展示服务、企业形象策划、礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；0510-82710563；0510-82729565；0510-82730235；0510-82733975；
无锡易房置业顾问有限公司学前东路分公司,江苏,无锡市,91320213MA1RAJ4H43,王云燕,有限责任公司分公司,2017-10-16,,无锡市梁溪区学前东路55号,,"房产经纪服务;家务服务;展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡易房置业顾问有限公司苏宁天御分公司,江苏,无锡市,91320213MA1QFF0992,王云燕,有限责任公司分公司,2017-09-06,,无锡市梁溪区中山路1000-12,,"房产经纪服务;家务服务;物业管理(在总公司资质范围内经总公司授权开展经营活动);展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡市住房置业担保有限公司宜兴分公司,江苏,无锡市,91320282747324951M,宋郁波,有限责任公司分公司,2003-03-24,,宜兴市宜城街道茶局路129号(第三层),,"经本公司授权从事住房置业担保、房地产中介、房屋收购、销售及政策咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87928368,0510-87979338；
无锡易房置业顾问有限公司第二中桥分公司,江苏,无锡市,91320213MA1NQAP918,王云燕,有限责任公司分公司,2017-04-10,,无锡市中南路263号,,"房产经纪服务;家务服务;物业管理(凭有效资质证书经营);展览展示服务;企业形象策划;礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82750793,
无锡易房置业顾问有限公司沁园新村分公司,江苏,无锡市,91320213MA1UQJ1068,王云燕,有限责任公司分公司,2014-03-10,,无锡市沁园新村58号,2431779906@qq.com,"房产经纪服务、经济贸易咨询服务、家务服务;物业管理(凭有效资质证书经营);展览展示服务、企业形象策划、礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-2750793,0510-82750793；0510-82701818；
无锡市马山灵圣置业有限公司城中分公司,江苏,无锡市,,周建邦,有限责任公司分公司,2010-04-19,,无锡市南长区沁园新村858,jia.mei@nanfung.com,"许可经营项目:无 一般经营项目:为总公司承揽业务。(上述经营范围涉及专项审批的,经批准后方可经营)*",,0510-82831166,
