企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡恒祥居房产营销策划有限公司,江苏,无锡市,91320200MA1MT92W6Y,王恒,有限责任公司,2016-08-26,201万人民币元,无锡市红星路216号内1281,18351439@163.com,"房地产营销策划服务;房地产经纪;企业形象策划;文化艺术交流策划;贸易咨询服务;企业管理咨询服务;会议及展览服务;装饰装潢服务;设计、制作、代理和发布各类广告;计算机软件的技术开发、技术咨询、技术转让及技术服务;信息系统集成服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13815724485,
无锡苏客房产经纪有限公司,江苏,无锡市,91320213MA1UQ7648F,胡毕,有限责任公司,2017-12-14,500万人民币元,无锡市梁溪区红星路216号内1915,15821309627@163.com,"房地产经纪;房地产中介服务;房地产营销策划;家政服务;建筑装饰工程的设计、施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15821309627,
无锡市智丰房产服务有限公司,江苏,无锡市,,陈国良,有限责任公司,2002-01-25,50万人民币元,无锡市北大街2号1401室,,房屋中介服务；经济信息咨询中介服务；装饰装潢服务（不含资质）；房屋租赁、房屋销售的代理服务。,,,
无锡市滨湖区蠡湖住房保障和房产管理所,江苏,无锡市,123202124664004602,胡晓春,,,10（万元）万元,无锡市滨湖区蠡湖大道168号蠡湖大厦-307室,,负责区域内直管公房、代管房等房屋的大、中修及日常修缮和安全管理；负责区域内房管“122”社会救助服务工作；负责区域内直管公房和接、撤管手续申报和房屋租赁实施管理；负责区域内安置房物业管理和物业企业及实行物业管理（业主自治）小区的监督和指导；负责协调处理物业管理矛盾、纠纷，配合做好物业服务企业资质管理...,,,
无锡市滨湖区华庄住房保障和房产管理所,江苏,无锡市,12320212466307530L,曹晓锋,,,10（万元）万元,无锡市滨湖区军民路30-1-201室,,负责区域内直管公房、代管房等房屋的大、中修及日常修缮和安全管理；负责区域内房管“122”社会救助服务工作；负责区域内直管公房和接、撤管手续申报和房屋租赁实施管理；负责区域内安置房物业管理和物业企业及实行物业管理（业主自治）小区的监督和指导；负责协调处理物业管理矛盾、纠纷，配合做好物业服务企业资质管理...,,,
无锡房管家房产经纪有限公司观山名筑分公司,江苏,无锡市,91320211MA1P8Y3L95,陈乐强,有限责任公司分公司,2017-06-22,,无锡市滨湖区华庄街道观山名筑298-107,290474414@QQ.COM,"房地产经纪服务;房地产营销策划服务;企业营销策划服务;企业形象策划服务;商务信息咨询(不含投资咨询);会议及展览服务;企业管理服务;礼仪服务;大型庆典活动策划组织服务;设计、制作、代理和发布各类广告业务;工艺礼品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15961718094,
无锡市大众房地产服务连锁有限公司苏州西园分公司,江苏,苏州市,,袁凤彪,有限责任公司分公司,2002-01-22,,苏州市人民路130号(房产市场内),,房地产信息中介、咨询服务;提供家务服务;经济信息咨询服务。,,,
无锡思点房地产营销策划有限公司,江苏,无锡市,91320202MA1MKUQ05L,王成芝,有限责任公司,2016-05-16,50万人民币元,无锡市锡沪东路377-502,,房地产营销策划、企业形象策划、房产经纪;为企业提供管理服务、电脑加工图片服务、会务服务、摄影摄像服务、展览展示服务、公司礼仪服务;企业管理咨询、房地产信息咨询、贸易咨询;物业管理;组织策划文化艺术交流活动;设计、制作、代理和发布国内各类广告业务;装饰装潢工程的设计、施工;日用品、工艺品、装饰材料、建筑材料...,,13771224448,18118893899；
无锡市新发集团有限公司,江苏,无锡市,9132021325045518X3,黄际洲,有限责任公司(国有独资),1992-07-21,1166069.951863万人民币元,无锡市新吴区汇融广场2-402、502、602、702、801、901,group@wnd.gov.cn,"股权投资、国有土地开发、基础设施建设、公用设施开发经营、城市建设综合开发、自有房产经营及物业管理、企业管理咨询、投资咨询、园艺经营(含苗木销售)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85211482,
无锡市朴寓房产经纪有限公司,江苏,无锡市,91320211MA1MK8966G,王琢珺,有限责任公司（法人独资）,2016-05-03,10万人民币元,无锡市万科城市花园二区232-2,wangk07@vanke.com,"房地产经纪;房屋租赁;房地产咨询服务;停车场管理服务;家政服务;清洁服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18352536691,0510-85067171；
无锡市江峰房产咨询服务有限公司,江苏,无锡市,913202026858709726,钱建平,有限责任公司,2009-03-03,30万人民币元,无锡市解放南路709-7,381273702@qq.com,"房地产信息咨询、房屋中介服务;建筑材料、装潢材料、木材及制品、金属材料、化工原料及产品(不含危险品)、针纺织品、日用百货的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13003302663,
无锡鼎联房产经纪有限公司,江苏,无锡市,91320214MA1NG2870L,周飞,有限责任公司,2017-03-01,30万人民币元,无锡市新吴区长江路180-9号,,"房地产经纪;房地产信息咨询;装饰装潢服务;房地产营销策划;经济与商务信息咨询(不含投资咨询)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡市滨湖区荣巷住房保障和房产管理所,江苏,无锡市,12320212466307581W,朱国忠,,,10（万元）万元,无锡市滨湖区梁湖南苑23号-1,,负责区域内直管公房、代管房等房屋的大、中修及日常修缮和安全管理；负责区域内房管“122”社会救助服务工作；负责区域内直管公房和接、撤管手续申报和房屋租赁实施管理；负责区域内安置房物业管理和物业企业及实行物业管理（业主自治）小区的监督与指导；负责协调处理物业管理矛盾、纠纷，配合区局做好物业服务企业资质...,,,
无锡市朴韵美居房产经纪有限公司,江苏,无锡市,91320211MA1MK88W25,王琢珺,有限责任公司（法人独资）,2016-05-03,10万人民币元,无锡市万科城市花园二区232-2,wangk07@vanke.com,"房产经纪服务;装饰装潢工程、房屋建筑工程的设计与施工;家用电器、五金、家具、电线电缆的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18352536691,0510-85067171；
无锡市朴邻房产经纪有限公司,江苏,无锡市,91320211MA1MK89P1J,王琢珺,有限责任公司（法人独资）,2016-05-03,10万人民币元,无锡市万科城市花园二区232-2,wangk07@vanke.com,"房地产经纪服务;房屋租赁;房地产咨询服务;停车场管理服务;家政服务;清洁服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18352536691,0510-85067171；
无锡汉达房产信息咨询有限公司,江苏,无锡市,,杨涌,有限责任公司,2011-02-23,201万人民币元,无锡市健康路6号,,许可经营项目：无 一般经营项目：房地产经纪服务；经济贸易咨询服务；家务服务；礼仪服务；展览展示服务；营销策划（不含广告）；企业形象策划；物业管理（凭有效资质证书经营）；装饰装潢服务（不含资质）；投资咨询（不含证券、期货类）。（上述经营范围涉及专项审批的经批准后方可经营）*,,,
无锡良诚房产信息咨询服务有限公司,江苏,无锡市,,史俊贇,有限责任公司,2006-08-09,50万人民币元,无锡市北塘区康桥丽景花园18-9,,房屋中介、经济信息咨询服务（以上经营范围涉及专项审批的凭许可项目经营）*,,,
无锡好享家房地产经纪有限公司,江苏,无锡市,91320200MA1MU7YJ3K,沈云飞,有限责任公司,2016-09-09,500万人民币元,无锡市尤渡里588-501,13771102498@163.com,"房产经纪;贸易咨询服务;企业管理咨询服务;提供企业管理服务;企业形象策划;市场营销策划;建筑装饰装修工程的设计、施工(凭有效资质证书经营);装饰装潢服务(不含资质)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771102498,
无锡市富安和房产经纪有限公司,江苏,无锡市,91320211MA1NK34020,刘锋,有限责任公司,2017-03-15,8万人民币元,无锡市滨湖区锦溪路100号,932744833@qq.com,"房地产中介服务;房屋租赁;设计、制作、代理和发布国内广告业务;社会经济咨询(不含投资咨询);会议及展览服务;策划创意服务;旅游咨询服务;建筑材料、金属材料、装饰装潢材料、纺织、服装及家庭用品、五金产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18861607087,
无锡觐善觐美房地产营销策划有限公司,江苏,无锡市,91320200MA1MC0U72D,王玮,有限责任公司(自然人独资),2015-12-02,1000万人民币元,无锡市解放东路888号6楼,,房地产营销策划;房产经纪;企业形象策划;市场调查;礼仪服务;摄影服务;商务咨询(不含投资咨询、不含期货、证券);企业管理咨询服务;会议及展览服务;组织策划文化艺术交流活动;设计、制作、代理和发布各类广告;计算机软件及辅助设备的技术开发、技术服务、技术咨询;装饰装潢服务(不含资质);电脑加工图片服务;日用品、工艺品、...,,13912351703,13771559853；
无锡市滨湖区远大房产中介服务部,江苏,无锡市,,周其正,个人独资企业,2001-10-12,40万人民币元,无锡市滨湖区梁溪路34号-40,,房屋中介信息咨询服务;家务(不含煤气、介绍保姆)服务、经济信息咨询服务。,,,
无锡金太湖房地产开发有限公司,江苏,无锡市,913202007505446139,朱国梅,有限责任公司,2003-06-19,16000万人民币元,无锡市新惠路8号,781546619@QQ.com,"按贰级标准从事房地产开发经营业务;房地产销售、租赁;装饰装潢服务(不含资质)、园林绿化、房产信息咨询服务及经纪服务(凭有效资质证书经营);金属材料、电气机械及器材、五金交电、建筑用材料、电子产品及通讯器材(不含发射装置及卫星电视广播地面接收设施)的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82609511,0510-81006688；0510-82606807；
无锡南长房产交易事务有限公司,江苏,无锡市,913202031361019864,江宏文,有限责任公司,1996-09-09,50万人民币元,无锡市迎德路18号二楼,longshengwuye@163.com,"房地产中介服务;房地产信息咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82712295,
无锡市双凯瑞房地产营销策划有限公司,江苏,无锡市,91320200MA1MWQHX2L,卢双双,有限责任公司,2016-10-11,210万人民币元,无锡市扬名高新技术产业园C098-1-378,3280814717@qq.com,房产经纪；市场营销策划；企业形象策划；会议及展览服务；组织文化艺术交流活动；礼仪服务；培训服务（不含发证、不含国家统一认可的职业证书类培训）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,18358132153,
无锡润鑫房产营销策划有限公司,江苏,无锡市,91320206MA1ML03Q5L,周刚,有限责任公司,2016-05-17,50万人民币元,无锡市惠山区前洲街道常玉路52F幢1052室（城铁惠山站区）,377069295@qq.com,房地产营销策划；房地产中介；市场调查；企业管理咨询；贸易咨询；会议及展览服务；电子商务的技术服务；网络技术的开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,13921541662,
无锡森茂房产经纪有限公司,江苏,无锡市,91320214MA1TAJ5E83,王剑,有限责任公司,2017-11-17,50万人民币元,无锡市新吴区红旗花园A区302-3,,"房地产中介服务;房地产营销策划;企业营销策划;市场营销策划;物业管理;经济与商务咨询服务(不含投资咨询);装饰装修服务;家庭服务;会议及展览服务;礼仪服务;大型庆典活动策划组织服务;设计、制作、代理和发布各类广告;工艺品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡融蠡文化房产咨询有限公司,江苏,无锡市,91320214331103709X,赵娟,有限责任公司(自然人独资),2015-02-11,50万人民币元,无锡市新区梅村新洲路210号,297481398@qq.com,"房屋中介代理服务;建筑装修工程施工;绿化工程施工;网络技术服务;企业信息咨询服务;文化艺术交流及策划;企业形象策划;婚庆服务;礼仪服务;展览展示服务;会务服务;市场调研服务;办公用品销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18021165322,13861159428；
江苏易租房产经纪有限公司无锡分公司,江苏,无锡市,91320214MA1UTBUX52,范永贵,有限责任公司分公司,2017-12-27,,无锡市新吴区长江北路282-2903、282-2904,446021070@qq.com,"房屋中介、房屋租赁、房屋维修,房地产营销策划,楼盘销售代理,家政服务,代办抵押贷款手续,网络技术开发及技术转让、技术服务、技术咨询,电子技术开发,计算机软硬件销售,计算机网络工程设计、施工,计算机系统集成,计算机维修,网页设计、制作,图文设计、制作,联通业务代理,室内外装饰装潢。(依法须经批准的项目,经相关部门批准...",,0510-82998556,
无锡宏尚伟业房地产经纪有限公司,江苏,无锡市,91320202MA1MD7P40L,高童玲,有限责任公司,2015-12-23,30万人民币元,无锡市锡沪家艺中心4-610,2215150561@qq.com,房产经纪、房地产营销策划、企业形象策划、房地产中介服务、会务服务、展览展示服务、清洁服务、公司礼仪服务、电脑加工图片服务、市场调查、企业管理咨询、投资咨询（不含证券、期货）、商务信息咨询；日用品的销售；设计、制作、代理和发布国内各类广告业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,13961879781,
无锡诺邦房产经纪有限公司,江苏,无锡市,,储琴,有限责任公司,2012-05-25,500万人民币元,宜兴市宜城街道解放东路东氿大厦1幢1401-1-10号,,房产中介服务；房屋租赁；房产销售、代理；物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,0510-68668510,
无锡康乾房产经纪有限公司,江苏,无锡市,91320214MA1NQAEF0N,徐春明,有限责任公司,2017-04-10,50万人民币元,无锡市新吴区江华路101-1023-1楼,18014253057@139.com,房地产中介服务、企业营销策划、经济与商务咨询服务(不含投资咨询)、会议及展览服务、网络咨询服务、房地产营销策划;设计、制作、代理和发布各类广告;自有房屋租赁;物业管理;建筑劳务分包;建筑装修装饰工程、绿化工程、市政公用工程的设计、施工、维护;软件的研发、销售、技术转让、技术咨询、技术服务;润滑油、化工产品及...,,18014253057,
无锡金亿利房产咨询服务有限公司常熟分公司,江苏,苏州市,91320581693346038B,蒋毅炜,有限责任公司分公司,2009-08-14,,常熟市长江路298号,,"房地产信息咨询服务、经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13706236947,18913657300；13701519333；
无锡住这儿辅邻房地产经纪有限公司,江苏,无锡市,91320211MA1N55JK5E,何宗诚,有限责任公司,2016-12-22,50万人民币元,无锡市滨湖区苏宁悦园D区-92,350466764@qq.com,"房产经纪服务;房地产营销策划服务;设计、制作、代理和发布国内各类广告业务;婚庆礼仪服务;装饰装潢服务;物业管理;家政服务;清洁服务;旅游信息咨询服务;办公用品、家具、家用电器的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85611194,13861869525；
无锡宏普置业有限公司,江苏,无锡市,91320205749405798A,钱栋,有限责任公司（法人独资）,2003-06-05,40000万人民币元,江苏省无锡市锡山经济开发区商贸园区锡沪路以北,495067471@qq.com,"房产开发(不含限制类项目),经营本公司开发的房产。本公司开发的房产的物业管理服务;输配电及控制设备的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88258805,
无锡市京江房地产有限公司,江苏,无锡市,,王瑞君,有限责任公司,1997-03-07,800万人民币元,无锡市锡山区安镇镇安国路8号,3354048237@qq.com,"房产开发;房屋修缮。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85884106,0510-85886107；0510-85800720；
无锡市领汇房产营销策划有限公司,江苏,无锡市,91320282MA1MEE8N2E,刘微,有限责任公司(自然人独资),2016-01-14,50万人民币元,宜兴市宜城街道今日星城沿街商铺272号,,"市场营销策划;房产经纪咨询服务;企业形象策划;会务会展服务;庆典礼仪服务;组织文化艺术交流活动;设计、代理、发布国内各类广告;商品房的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13961597485,15895820620；
无锡江湖房地产营销策划有限公司,江苏,无锡市,91320200MA1MWQW403,廉茹江,有限责任公司(自然人独资),2016-10-11,288万人民币元,无锡市红星路216号内1312,13181257058@163.com,房地产营销策划服务;房产经纪;企业形象策划;策划创意服务;贸易咨询服务;企业管理咨询服务;会议及展览服务;计算机软件的研发、技术咨询、技术转让及技术服务;信息系统集成服务;装饰装潢服务(不含资质);市场调查;组织文化艺术交流活动;演出经纪;电影、动漫制作;摄影扩印服务;设计、制作、代理、发布各类广告业务;婚庆礼仪服务...,,15251443935,
无锡和泰房产发展有限责任公司,江苏,无锡市,,沈抗,有限责任公司,1996-12-20,2088万人民币元,蠡园经济开发区A1房5楼,,从事东门长庆路93-37号地块房产开发、经营、租赁及自有开发房屋的养护。,,,
无锡优梦居房产经纪有限公司,江苏,无锡市,91320213MA1TE2U08E,孙裕哲,有限责任公司(自然人独资),2017-12-06,100万人民币元,无锡市梁溪区红星路216号内1875,18921539859@163.com,房地产经纪;房地产营销策划;企业形象策划;家政服务;策划创意服务;贸易咨询;企业管理咨询;会议及展览服务;计算机软件的技术开发、技术咨询、技术转让、技术服务;信息系统集成服务;装饰装潢服务;市场调查;组织策划文化艺术交流活动;演出经纪;影视制作;动漫制作(不含故事片);摄影摄像服务;设计、制作、代理和发布各类广告;婚庆...,,18921539859,
无锡龙湖置业有限公司,江苏,无锡市,91320214692552585W,裴丹,有限责任公司（法人独资）,2009-07-16,61520万人民币元,无锡市新区太科园净慧东道77号8幢-1,15371059801@163.com,"房地产开发、经营(凭有效资质证书经营);建筑材料的销售;自有房产租赁;房产中介、房产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85382221,0510-66726715；0510-85382221；
无锡市楼宇房产物业管理有限责任公司,江苏,无锡市,913202024662944937,郑来斌,有限责任公司,1997-04-10,50万人民币元,无锡市广益路311-1513,447389566@qq.com,"物业管理、清洗保洁、房地产中介服务、绿化管理、房屋修缮与管理、社区服务、房屋租赁服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13861792509,0510-88223721；
无锡市阳光房产经营有限公司,江苏,无锡市,,张小群,有限责任公司,1998-07-14,50万人民币元,清扬路27号,,房产信息咨询、中介服务；建筑材料、装饰材料、卫生洁具的销售；房产的代购代销。,,,
无锡宏泰置业有限公司,江苏,无锡市,91320205074694893U,钱栋,有限责任公司（法人独资）,2013-07-11,25000万人民币元,无锡市锡山经济技术开发区商贸园区锡沪路以北,495067471@qq.com,"房产开发(不含限制类),经营本公司开发的房产。本公司开发房产的物业管理服务。(上述经营范围涉及专项审批的经批准后方可经营,涉及资质经营的凭有效资质证书经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88258805,
无锡市盛辉房产有限公司,江苏,无锡市,,张辉庭,有限责任公司(外国法人独资),2009-08-26,2998万美元,江苏宜兴经济开发区庆源大道,,许可经营项目：从事普通住宅和商业房产的开发，经营（国家禁止、限制类项目除外，限江苏宜兴经济开发区庆源大道北侧、东氿大道东侧地块，四址为：东至规划道路，南至庆源大道，西至东氿大道、北至空地）（有效期截止到2010年8月17日）。一般经营项目：物业管理（凭有效资质证书经营）。,,,
无锡富顺房产经纪有限公司,江苏,无锡市,91320200MA1NRER58Y,韩长明,有限责任公司(自然人独资),2017-04-14,201万人民币元,无锡市高步沿73号5280,,房地产经纪；房地产信息咨询；房屋租赁；房地产营销策划；贸易咨询服务；汽车租赁（不含融资性租赁）；二手车经纪；网络技术的开发、技术服务；装饰装潢服务（不含资质）；汽车零配件、医疗器械、办公用品、体育用品、计算机软硬件及辅助设备、电子产品、橡胶制品、塑料制品、化工产品及原料（不含危险化学品）、建材、五金...,,,
江苏龙世美邻商业管理有限公司,江苏,无锡市,91320200743148065M,余德成,有限责任公司(台港澳与境内合资),2003-05-20,150.0027万美元,无锡市湖滨路1289-93四楼,1623236284@qq.com,"企业管理服务;物业管理;自有房屋出租;企业形象策划服务;经营本公司开发的位于无锡市滨湖区4-14-12-028号地块的房产。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85107698,
无锡市人民房产咨询服务有限公司,江苏,无锡市,,吴泽洪,有限责任公司,2003-04-25,51万人民币元,无锡市北大街119号,,房地产信息咨询服务及经纪服务；建筑材料、化工原料及产品（不含危险品）、百货、办公自动化设备、工艺美术品（不含金饰品）、五金交电、劳保用品、日杂用品（不含烟花爆竹）、电子产品及通信设备（不含发射装置）、电器机械及器材的销售；装饰装潢服务（不含资质）。,,,
无锡刘邦房产信息有限公司苏州分公司,江苏,苏州市,,刘邦启,有限责任公司分公司,2008-11-04,,苏州市金阊区金门路158号协和大厦1604室,,许可经营项目：无 一般经营项目：为总公司联系业务。,,,
无锡市郊区房产建材商行,江苏,无锡市,,王茉芬,集体所有制,1996-08-30,50万人民币元,蠡园经济开发区A3楼,,主营：建筑材料，装潢材料，五金交电。兼营：金属材料（除贵金属），普通机械及配件，化工产品（除危险品），化工原料（除危险品），汽车零部件，针纺织品，日用杂货（除烟花爆竹）。,,,
无锡市远博房产咨询有限公司,江苏,无锡市,,庄仕虎,有限责任公司,2005-11-15,50万人民币元,江阴市中山北路177号,,房地产信息咨询；房地产中介服务；商品房销售策划；企业管理咨询。（以上项目涉及专项审批的，经行政许可后方可经营）,,,
无锡龙创房产中介服务部,江苏,无锡市,,孙喜龙,个体工商户,2006-09-01,0.5万人民币元,无锡市建筑路22号,,房产中介、房地产信息咨询服务,,,
无锡博家房产服务有限公司,江苏,无锡市,91320205MA1QF1Q10E,邹君生,有限责任公司,2017-09-04,50万人民币元,无锡市锡山区云林街道祗陀寺23号,13771164706@163.com,"房屋中介服务,人才招聘。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771164706,
无锡市房之缘房产信息咨询服务部,江苏,无锡市,,顾锡红,个体工商户,2007-03-23,0.3万人民币元,无锡市曹张新村128号-103,,房产信息咨询服务。,,,
无锡市百捷房产策划销售有限公司,江苏,无锡市,,吴华英,有限责任公司（法人独资）,2010-11-23,100万人民币元,宜兴市宜城街道蛟桥步行街8号307室,BJFC163@163.COM,"房产的销售;市场营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-80762209,0510-87942579；
无锡尚家房产经纪有限公司,江苏,无锡市,91320206MA1MT8P672,舒奇,有限责任公司,2016-08-26,200万人民币元,无锡市隐秀路1009号、1011号,810630665@qq.com,"房地产经纪服务;房地产营销策划服务;房地产信息咨询服务;家庭服务;室内外装饰装潢工程的设计、施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88577473,
无锡市佳信房地产咨询服务有限公司,江苏,无锡市,,谢明,有限责任公司,1997-01-31,50万人民币元,无锡市开发区27号地块（新区）,,房地产信息咨询及房产中介服务。,,,
无锡开瑞房产咨询有限公司,江苏,无锡市,91320206MA1UQ3KA55,汤先芝,有限责任公司,2017-12-14,208万人民币元,无锡惠山经济开发区智慧路33号华清创意园38栋101-1,,"房地产咨询;房屋租赁服务;装饰装潢服务;停车场服务;社会经济咨询(不含投资咨询);展示展览服务;仓储服务(不含危险品);利用自有资金对外投资;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡市建瓴房地产有限公司南京分公司,江苏,南京市,,顾晨,外商投资公司分公司,2004-11-18,1万人民币元,鼓楼区东柏果园48号,,为公司承接业务；经营本公司开发的房产；建筑技术的中介、咨询服务（涉及许可经营的凭许可证经营）。,,,
无锡市海诚房产咨询服务所,江苏,无锡市,,张道兴,集体所有制（股份合作）,1998-11-06,10万人民币元,无锡市崇安区人民路224号313室,,代购代销商品房，经济信息中介服务，房地产信息中介服务，室内装璜装饰（不含资质）。,,,
无锡市郊区庆成房产房产中介服务部,江苏,无锡市,,刘国庆,个体工商户,1999-06-23,,无锡市长江北路殷巷7号,,房屋中介、家务服务、信息服务。,,,
无锡长骏置业有限公司,江苏,无锡市,,JANA SAWANG,有限责任公司(外国自然人独资),2006-04-07,1000万美元,无锡新区坊前镇工业集中区1号,,"房产开发，经营本公司开发的房产；物业管理及经济信息的咨询服务。(上述不含国家限制及禁止项目,涉及行政许可的凭有效许可证明经营)",,,
无锡市中山凯捷房地产营销策划广告有限公司淮南分公司,安徽,淮南市,,邹明辉,有限责任公司分公司(自然人投资或控股),2007-03-22,,安徽省淮南市八公山区蔡新路,,房地产营销策划、咨询；房产代理、装饰装潢服务，企业形象策划，房地产广告的设计、制作、代理、发布；物业管理，建筑监理（不含资质），建筑设计（不含资质）,,,
无锡市钱桥鸿瑞房产经纪信息咨询服务部,江苏,无锡市,,池国军,个体工商户,2009-03-05,4.3万人民币元,无锡市钱桥盛岸西路340号,,房地产经纪信息咨询服务；代办房产过户、房产评估、房产抵押、房产贷款（上述范围涉及国家专项审批的，经批准后方可经营）。,,,
无锡德道房产经纪有限公司宁波分公司,浙江,宁波市,91330204MA28117T8N,陆俊,有限责任公司分公司(自然人独资),2015-09-25,,宁波市鄞州区海宁街167号(1-9),,房地产经纪、咨询服务、市场营销策划、装饰装潢服务;家庭服务。,,15306639893,15057472120；
无锡圣邦地产投资有限公司,江苏,无锡市,9132020067304442XX,韩卫军,有限责任公司,2008-03-19,5000万人民币元,无锡市清扬路123-416,58118506@qq.com,"利用自有资产对外投资;房产经纪;贸易咨询服务;物业管理;计算机软件的技术开发、技术服务及销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85727682,
无锡汉佑房产经纪有限公司宜兴分公司,江苏,无锡市,91320282MA1MUG9T05,赵洋,有限责任公司分公司,2016-09-18,,宜兴市宜城街道天氿御城一期一区G05-105,,"房地产经纪服务;房屋租赁;房地产营销策划;房地产信息咨询服务;企业管理咨询服务;家庭服务;清洁服务(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-68791189,
无锡市冯荷妹香烛店,江苏,无锡市,,冯荷妹,个体工商户,1996-08-30,,无锡市通阳路朱巷西3号,,香烛、花圈的零售。,,,
无锡爱房房产中介服务部,江苏,无锡市,,陆冠华,个体工商户,2007-05-16,1万人民币元,无锡市新区梅村香梅花园200-21号,,房产中介；房屋咨询服务。,,,
无锡盈诚红商贸有限公司,江苏,无锡市,91320211MA1WKUEM8X,陈红,有限责任公司(自然人独资),2018-05-23,1180万人民币元,无锡市滨湖区紫金英郡西苑49-1-105,,"汽车及零部件的销售;汽车租赁服务;二手车经纪;代理机动车辆保险;代办车辆上牌、办证、年审服务;房产中介服务;房产信息咨询;房产租赁服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
江苏全记严选商务有限公司,江苏,无锡市,91320204663284796T,韦斌,有限责任公司（法人独资）,2007-06-22,2000万人民币元,无锡市五湖大道11号蠡湖科创中心南楼2201室,ehousechina@sina.com,房地产经纪服务;设计、制作、代理和发布各类广告;体育赛事活动的策划、组织;各种项目的策划服务和公关服务;公司礼仪服务;汽车代驾服务;汽车租赁(不含融资租赁);汽车修理与维护;旅游信息咨询服务;企业管理咨询服务;餐饮管理服务;清洁服务;市场调查;市场营销策划;会议及展览服务;票务代理(不含铁路客票);动漫设计;自营和代理...,,13506181881,0510-83769966；
无锡兴帮房产经纪有限公司,江苏,无锡市,91320282MA1MB0GM08,宋甲琴,有限责任公司,2015-11-09,100万人民币元,宜兴市宜城街道解放东路886号2002-5室,402942636@QQ.COM,"房地产中介服务;房屋的销售、租赁;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87571888,0510-87570093；0510-87575678；
无锡玉祁大唐置业有限公司,江苏,无锡市,91320206697878306B,张先龙,有限责任公司,2009-11-30,5743万人民币元,无锡市惠山区玉祁街道民主村,,"房产开发、销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83888163,0510-83888173；
无锡市南长区越盛房产服务部,江苏,无锡市,,吕景良,个体工商户,2006-11-21,,无锡市清扬疏导点64号,,房产信息的中介服务。,,,
无锡市天福房产中介服务有限公司,江苏,无锡市,,侯雄雄,有限责任公司,2001-12-19,15万人民币元,无锡市锡山区东亭镇桑达园16-57-101号号,,房产信息中介服务，家务服务。,,,
润地利科技实业投资集团有限公司,江苏,无锡市,91320211250540640B,王和平,有限责任公司,1998-11-16,10118万人民币元,无锡市蠡园开发区太湖西大道1890号太湖明珠发展大厦30F,475350924@qq.com,"利用自有资金对科技项目投资;按壹级资质从事房地产开发经营;对房地产项目的投资;自有房屋的租赁;贸易咨询服务;建材、通用设备、专用设备、电气机械的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",cnrdl.com,13961719867,0510-85169288；0510-85167088；
无锡市家福乐房产中介服务部,江苏,无锡市,,郑绪珍,个体工商户,2009-02-26,,无锡市滨湖区稻香新村18-1号,,房产经纪、房产中介信息服务。,,,
